window_id,truth_regime,predicted_regime,policy,throughput,latency,pressure,coherence,regime_confidence,pareto_efficient,throughput_score,latency_score,pressure_score,coherence_score_obj,objective_throughput_first,objective_latency_first,objective_balanced_constraint,objective_profile,objective_score
19,clustered_ranges,clustered_ranges,guarded_fallback,1207.195936081022,0.8548429124752677,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,latency_first,1.0
20,low_entropy_repeating,low_entropy_repeating,coherent_local,1740.6480707596377,0.5830994965482345,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,latency_first,1.0
21,sequential_ids,sequential_ids,simd,1429.337020305695,0.6998327282683245,0.3,0.6025,0.95,True,1.0,1.0,0.2857142857142859,0.2857142857142884,0.8214285714285718,0.8214285714285717,0.6785714285714293,latency_first,0.8214285714285717
22,uniform_32bit,uniform_32bit,simd,1906.7754646664698,0.5281100019614584,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,latency_first,1.0
23,zipfian_smallints,zipfian_smallints,hybrid,1544.4349816612523,0.642297814023741,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,latency_first,1.0
24,clustered_ranges,clustered_ranges,guarded_fallback,1224.4653763543279,0.8424664802793984,0.764,0.1996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,latency_first,1.0
25,low_entropy_repeating,low_entropy_repeating,coherent_local,1718.7949698240252,0.5903422385726087,0.056,0.9479,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,latency_first,1.0
26,sequential_ids,sequential_ids,hybrid,1369.1130678154443,0.7256640870364532,0.27,0.613,0.95,True,0.8426312300211297,0.9139660939150775,0.6428571428571426,0.6428571428571442,0.8033879378142254,0.8319218833718044,0.7705666067708229,latency_first,0.8319218833718044
27,uniform_32bit,uniform_32bit,simd,1908.9351446523306,0.527507564912771,0.6040000000000001,0.19059999999999994,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,latency_first,1.0
28,zipfian_smallints,zipfian_smallints,hybrid,1531.099119534035,0.6478042345149791,0.552,0.42979999999999996,0.95,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,latency_first,1.0
